"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","558","Taxi order form contains required fields","tests","2026-09-12","passed","2026-09-12","TestTaxiOrder","test_taxi_order","",""
"","33","Selecting Быстрый keeps the taxi call button active","tests","2026-09-12","passed","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","1406","Taxi tariff descriptions on hover match TЗ","tests","2026-09-12","skipped","2026-09-12","TestTaxiOrder","test_taxi_order","",""
"","84","Switching between Оптимальный and Быстрый changes active tab and route info","tests","2026-09-12","passed","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","92","Selecting Свой and type Драйв enables booking button","tests","2026-09-12","passed","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","554","Taxi preparation exposes phone, payment and comment fields","tests","2026-09-12","passed","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","7","test_phone_input_is_not_interactable_without_js","tests","2026-09-12","skipped","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","37","Switching to Свой enables movement types and keeps taxi action","tests","2026-09-12","passed","2026-09-12","TestTaxiPreparation","test_taxi_preparation","",""
"","688","Route selection block for same addresses shows free auto route","tests","2026-09-12","passed","2026-09-12","TestRouteSelection","test_route_selection","",""
"","571","Taxi order form has 6 tariffs and one active tariff","tests","2026-09-12","passed","2026-09-12","TestTaxiOrder","test_taxi_order","",""
"","853","Full taxi flow: route, tariff, phone and order state","tests","2026-09-12","passed","2026-09-12","TestFullTaxiFlow","test_full_taxi_flow","",""
"","16001","Route drawing works for reversed preset addresses","tests","2026-09-12","skipped","2026-09-12","TestRouteDrawing","test_route_drawing","",""
"","863","Taxi order with laptop table option opens search window","tests","2026-09-12","skipped","2026-09-12","TestFullTaxiFlow","test_full_taxi_flow","",""
"","15266","Route drawing for two preset addresses","tests","2026-09-12","skipped","2026-09-12","TestRouteDrawing","test_route_drawing","",""
"","8","Route selection block contains all tariffs","tests","2026-09-12","passed","2026-09-12","TestRouteSelection","test_route_selection","",""
"","36524","Taxi search timer ends with completed order details and cancel closes popup","tests","2026-09-12","skipped","2026-09-12","TestFullTaxiFlow","test_full_taxi_flow","",""
